spotify_id,spotify_uri,album,name,popularity,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4IK4lJsJxlvQAVqd36gyRu,spotify:track:4IK4lJsJxlvQAVqd36gyRu,Metallica (Remastered Deluxe Box Set),Of Wolf and Man - Remastered 2021,40,2021-09-10,9,0.609,0.794,5,-6.864,1,0.0366,0.00104,0.0409,0.0833,0.492,121.765,256573,4
5wAS8svvT4d27ZpiPvFA0Z,spotify:track:5wAS8svvT4d27ZpiPvFA0Z,Metallica (Remastered Deluxe Box Set),The God That Failed - Remastered 2021,40,2021-09-10,10,0.528,0.818,8,-6.4,1,0.0382,0.000444,0.00011,0.172,0.462,83.0,308507,4
6BB5UdcC2OWExmDKhzpE9P,spotify:track:6BB5UdcC2OWExmDKhzpE9P,Metallica (Remastered Deluxe Box Set),My Friend of Misery - Remastered 2021,40,2021-09-10,11,0.568,0.859,9,-7.618,0,0.0358,0.000225,0.00761,0.101,0.332,119.514,409667,4
2WbgyLfHBiukZ78V56qsvT,spotify:track:2WbgyLfHBiukZ78V56qsvT,Metallica (Remastered Deluxe Box Set),The Struggle Within - Remastered 2021,37,2021-09-10,12,0.465,0.946,0,-6.512,1,0.0518,0.0013,0.0244,0.24,0.501,98.786,232648,4
221S3dSykrb6hCdEvC71oz,spotify:track:221S3dSykrb6hCdEvC71oz,Metallica (Remastered Deluxe Box Set),"Enter Sandman - Live at Wembley Stadium, London, England / April 20th, 1992",35,2021-09-10,1,0.32,0.931,6,-8.883,0,0.103,0.000187,0.000148,0.737,0.16,132.763,418677,4
4vp08OHkFBNf3e8Quh9w4Y,spotify:track:4vp08OHkFBNf3e8Quh9w4Y,Metallica (Remastered Deluxe Box Set),"Sad But True - Live at Wembley Stadium, London, England / April 20th, 1992",33,2021-09-10,2,0.405,0.828,0,-8.334,0,0.0406,2.73e-05,0.00349,0.766,0.315,92.639,334363,4
6aVQ8H3O8rjQrDGlO5epWc,spotify:track:6aVQ8H3O8rjQrDGlO5epWc,Metallica (Remastered Deluxe Box Set),"Nothing Else Matters - Live at Wembley Stadium, London, England / April 20th, 1992",33,2021-09-10,3,0.305,0.569,4,-8.827,0,0.0278,0.00158,0.000492,0.995,0.113,141.434,383747,3
2wrVYKAzETnJ7TbJPaZzD2,spotify:track:2wrVYKAzETnJ7TbJPaZzD2,Metallica (Remastered Deluxe Box Set),"The Ecstasy of Gold - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",32,2021-09-10,1,0.199,0.623,9,-13.832,0,0.078,0.0227,0.517,0.903,0.103,98.018,113509,4
0NeVu54s5HRIItVXwhMdke,spotify:track:0NeVu54s5HRIItVXwhMdke,Metallica (Remastered Deluxe Box Set),"Enter Sandman - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",37,2021-09-10,2,0.368,0.944,11,-7.283,1,0.0743,1.55e-05,0.0159,0.601,0.235,130.163,321413,4
6yMHIyF2Hnoct27sewYnwd,spotify:track:6yMHIyF2Hnoct27sewYnwd,Metallica (Remastered Deluxe Box Set),"Creeping Death - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",36,2021-09-10,3,0.246,0.946,0,-7.894,1,0.0995,3.81e-06,0.279,0.769,0.211,105.189,477250,4
0EFa1CI2PsCKkghK2Cn4pj,spotify:track:0EFa1CI2PsCKkghK2Cn4pj,Metallica (Remastered Deluxe Box Set),"Harvester of Sorrow - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",35,2021-09-10,4,0.37,0.952,0,-7.807,1,0.0963,1.69e-05,0.0337,0.503,0.124,91.357,423636,4
34vauVAZOS50cmH9td2JYv,spotify:track:34vauVAZOS50cmH9td2JYv,Metallica (Remastered Deluxe Box Set),"Fade to Black - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",34,2021-09-10,5,0.253,0.864,0,-7.647,1,0.0778,3.03e-05,0.183,0.995,0.218,104.262,464581,4
2yHvDfttDN1WKFo62BEBQY,spotify:track:2yHvDfttDN1WKFo62BEBQY,Metallica (Remastered Deluxe Box Set),"Sad But True - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",32,2021-09-10,6,0.357,0.913,0,-7.715,0,0.0758,2.76e-05,0.00774,0.991,0.32,90.159,360795,4
5mvIBweLdY22BBD1mwn239,spotify:track:5mvIBweLdY22BBD1mwn239,Metallica (Remastered Deluxe Box Set),"Master of Puppets - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",32,2021-09-10,7,0.342,0.952,0,-8.015,1,0.0899,5.59e-06,0.000464,0.64,0.27,101.502,254413,4
341803NTbWrPwaeXI0xGEj,spotify:track:341803NTbWrPwaeXI0xGEj,Metallica (Remastered Deluxe Box Set),"Seek & Destroy - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",33,2021-09-10,8,0.307,0.921,0,-8.259,1,0.0919,9.05e-06,0.0767,0.748,0.346,140.229,477575,4
18t7ie4VHP7g5enIi7Ww5S,spotify:track:18t7ie4VHP7g5enIi7Ww5S,Metallica (Remastered Deluxe Box Set),"For Whom the Bell Tolls - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",32,2021-09-10,9,0.297,0.904,11,-8.092,1,0.0606,1.71e-05,0.0217,0.314,0.259,118.209,348371,4
2sllZ46NIXhuhNlT8WS9kk,spotify:track:2sllZ46NIXhuhNlT8WS9kk,Metallica (Remastered Deluxe Box Set),"One - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",31,2021-09-10,10,0.335,0.891,0,-8.624,1,0.0613,1.74e-05,0.323,0.993,0.23,112.866,494559,4
0uSAfMN18BoA46w1QYoYfh,spotify:track:0uSAfMN18BoA46w1QYoYfh,Metallica (Remastered Deluxe Box Set),"Whiplash - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",29,2021-09-10,11,0.247,0.933,0,-8.33,1,0.214,3.5e-05,0.123,0.953,0.143,86.345,341938,4
6vL720SQYTi75F8JaOxOb3,spotify:track:6vL720SQYTi75F8JaOxOb3,Metallica (Remastered Deluxe Box Set),"Encore Jam - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",27,2021-09-10,12,0.272,0.925,8,-9.245,0,0.119,3.51e-05,0.752,0.54,0.183,80.813,89581,4
7BkE8kw7NjXjwKNQKY9uvY,spotify:track:7BkE8kw7NjXjwKNQKY9uvY,Metallica (Remastered Deluxe Box Set),"Last Caress - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",28,2021-09-10,13,0.339,0.962,0,-7.399,1,0.0838,3.62e-06,3.11e-05,0.846,0.387,102.905,87621,4
3pWckSqJm9XpHSELvqBlHz,spotify:track:3pWckSqJm9XpHSELvqBlHz,Metallica (Remastered Deluxe Box Set),"Am I Evil? - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",28,2021-09-10,14,0.265,0.942,0,-7.652,1,0.102,1.76e-05,0.031,0.231,0.262,143.743,284357,4
6P0Ecol3wlPQeF4Az6q5YN,spotify:track:6P0Ecol3wlPQeF4Az6q5YN,Metallica (Remastered Deluxe Box Set),"Battery - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",29,2021-09-10,15,0.194,0.965,0,-8.487,1,0.143,5.93e-05,0.062,0.712,0.0433,98.22,433528,4
28lZTGs8v8OQxY1DGFeWdh,spotify:track:28lZTGs8v8OQxY1DGFeWdh,Metallica (Remastered Deluxe Box Set),The Unforgiven - From James' Riff Tapes,27,2021-09-10,1,0.511,0.2,9,-17.446,0,0.0392,0.96,0.964,0.102,0.508,144.061,68145,5
1SxitWMN8OutBerpeeRZzh,spotify:track:1SxitWMN8OutBerpeeRZzh,Metallica (Remastered Deluxe Box Set),Nothing Else Matters - From James' Riff Tapes,27,2021-09-10,2,0.417,0.0765,0,-16.301,1,0.0305,0.87,0.386,0.112,0.0389,79.354,294996,3
1SKV5ye3hgxzh9mvZ5lUtD,spotify:track:1SKV5ye3hgxzh9mvZ5lUtD,Metallica (Remastered Deluxe Box Set),Sad But True - From James' Riff Tapes,24,2021-09-10,3,0.412,0.516,8,-14.908,1,0.0405,0.065,0.975,0.332,0.463,104.005,55716,4
6i9nUOZLBm91mVbCCvp7AZ,spotify:track:6i9nUOZLBm91mVbCCvp7AZ,Metallica (Remastered Deluxe Box Set),Holier Than Thou - From James' Riff Tapes,23,2021-09-10,4,0.386,0.641,1,-15.416,1,0.0539,0.175,0.971,0.19,0.63,83.733,107710,4
5A0ykds8lgI6KBrsp1Nfge,spotify:track:5A0ykds8lgI6KBrsp1Nfge,Metallica (Remastered Deluxe Box Set),Don't Tread on Me - From James' Riff Tapes,23,2021-09-10,5,0.212,0.182,2,-15.255,1,0.0339,0.311,0.941,0.393,0.375,160.181,72987,3
3NVdYWeFOWgIyZQ1E9QrL1,spotify:track:3NVdYWeFOWgIyZQ1E9QrL1,Metallica (Remastered Deluxe Box Set),The Unforgiven - From James' Riff Tapes II,1,2021-09-10,6,0.216,0.356,8,-12.565,1,0.0471,0.106,0.97,0.311,0.0,113.621,21927,4
4A6xxrfeH2s8CsPb0E77Yh,spotify:track:4A6xxrfeH2s8CsPb0E77Yh,Metallica (Remastered Deluxe Box Set),The Struggle Within - From James' Riff Tapes,22,2021-09-10,7,0.209,0.347,3,-14.853,1,0.031,0.627,0.943,0.141,0.273,77.644,92321,4
1bGaKBAfrHMXqsiifdkaNc,spotify:track:1bGaKBAfrHMXqsiifdkaNc,Metallica (Remastered Deluxe Box Set),The Unforgiven - From James' Riff Tapes III,23,2021-09-10,8,0.523,0.31,2,-16.972,1,0.0508,0.833,0.827,0.119,0.0943,145.402,130248,4
6cKTruFTfnxJAKIAnIwXUk,spotify:track:6cKTruFTfnxJAKIAnIwXUk,Metallica (Remastered Deluxe Box Set),The God That Failed - From James' Riff Tapes,22,2021-09-10,9,0.426,0.396,9,-19.027,1,0.0544,0.984,0.978,0.139,0.746,85.728,43017,4
219mQU0MOCOs4gHbmCvycG,spotify:track:219mQU0MOCOs4gHbmCvycG,Metallica (Remastered Deluxe Box Set),Wherever I May Roam - From James' Riff Tapes,1,2021-09-10,10,0.264,0.112,6,-20.88,1,0.04,0.967,0.96,0.138,0.643,79.842,25082,5
1FgxKMPXOtCfRcb2rdlDRv,spotify:track:1FgxKMPXOtCfRcb2rdlDRv,Metallica (Remastered Deluxe Box Set),Enter Sandman - From Kirk's Riff Tapes,23,2021-09-10,11,0.271,0.525,10,-17.076,1,0.0516,0.479,0.459,0.105,0.352,122.956,71685,4
47b0OIoJttm9JwHtzBzEVj,spotify:track:47b0OIoJttm9JwHtzBzEVj,Metallica (Remastered Deluxe Box Set),Through the Never - From Kirk's Riff Tapes,30,2021-09-10,12,0.424,0.603,11,-17.081,0,0.0468,0.000208,0.69,0.327,0.528,102.589,87025,4
3vyMHu6zA4lvt3I5w6TWeH,spotify:track:3vyMHu6zA4lvt3I5w6TWeH,Metallica (Remastered Deluxe Box Set),Of Wolf and Man - From Kirk's Riff Tapes,21,2021-09-10,13,0.381,0.571,1,-16.844,0,0.0529,0.000599,0.899,0.0452,0.663,142.656,30072,4
0t2H5rVMToWYmVSooY0cA3,spotify:track:0t2H5rVMToWYmVSooY0cA3,Metallica (Remastered Deluxe Box Set),Enter Sandman - From Kirk's Riff Tapes II,22,2021-09-10,14,0.438,0.475,11,-19.156,1,0.066,9.35e-05,0.878,0.0898,0.236,131.888,40121,4
1oKFnngyD7zWva4ewt95nK,spotify:track:1oKFnngyD7zWva4ewt95nK,Metallica (Remastered Deluxe Box Set),My Friend of Misery - From Jason's Riff Tapes,29,2021-09-10,15,0.75,0.21,9,-19.358,0,0.0368,0.874,0.942,0.111,0.499,109.65,277892,4
18tCQcL2Aj0AdpYqqa2A9S,spotify:track:18tCQcL2Aj0AdpYqqa2A9S,Metallica (Remastered Deluxe Box Set),"Enter Sandman - July 6th, 1990, Writing in Progress",23,2021-09-10,16,0.534,0.932,11,-11.336,1,0.0453,0.00167,0.472,0.158,0.345,127.981,94015,4
0lxowbIMlZ8QYVvrHQFGHJ,spotify:track:0lxowbIMlZ8QYVvrHQFGHJ,Metallica (Remastered Deluxe Box Set),"Sad But True - July 6th, 1990, Writing in Progress",22,2021-09-10,17,0.404,0.853,1,-11.975,1,0.043,1.48e-05,0.575,0.317,0.545,102.554,120008,4
3FwVeOHWi7xAcLIuwbloHC,spotify:track:3FwVeOHWi7xAcLIuwbloHC,Metallica (Remastered Deluxe Box Set),"The God That Failed - July 6th, 1990, Writing in Progress",21,2021-09-10,18,0.431,0.862,4,-12.116,1,0.064,3.78e-05,0.855,0.368,0.475,90.866,76160,4
61eoTkwJGTuglX8sWJoyVE,spotify:track:61eoTkwJGTuglX8sWJoyVE,Metallica (Remastered Deluxe Box Set),"Don't Tread on Me - July 6th, 1990, Writing in Progress",21,2021-09-10,19,0.438,0.86,1,-12.696,0,0.14,2.03e-05,0.918,0.336,0.695,110.964,64805,4
3ZZAu3dai7niY40TJW9ubM,spotify:track:3ZZAu3dai7niY40TJW9ubM,Metallica (Remastered Deluxe Box Set),"The Struggle Within - July 6th, 1990, Writing in Progress",21,2021-09-10,20,0.281,0.898,1,-12.435,0,0.111,2.77e-05,0.894,0.0351,0.627,192.991,42083,4
4l5ZQP9gOWLszD8zCZjk0F,spotify:track:4l5ZQP9gOWLszD8zCZjk0F,Metallica (Remastered Deluxe Box Set),"Holier Than Thou - July 6th, 1990, Writing in Progress",21,2021-09-10,21,0.241,0.855,11,-12.958,0,0.0628,9.68e-06,0.837,0.277,0.161,162.87,100244,4
2PVwM6tICVqD0o3VkjoqKI,spotify:track:2PVwM6tICVqD0o3VkjoqKI,Metallica (Remastered Deluxe Box Set),"Sad But True - July 10th, 1990, Writing in Progress",20,2021-09-10,22,0.604,0.301,3,-11.271,1,0.0332,0.0461,0.853,0.247,0.663,101.437,52517,4
5KmLzj86N3z1F5AxQRmBlq,spotify:track:5KmLzj86N3z1F5AxQRmBlq,Metallica (Remastered Deluxe Box Set),"Sad But True - July 12th, 1990, Demo",21,2021-09-10,23,0.534,0.713,7,-10.148,1,0.042,0.0875,0.751,0.0682,0.732,97.321,311755,4
403x5sMDr5REP8QrbML7CL,spotify:track:403x5sMDr5REP8QrbML7CL,Metallica (Remastered Deluxe Box Set),"Don't Tread on Me - July 12th, 1990, Demo",20,2021-09-10,24,0.477,0.808,11,-11.689,0,0.0517,0.00244,0.821,0.167,0.608,110.491,248837,4
2AMmjioWZ24XEwSYmPjHnB,spotify:track:2AMmjioWZ24XEwSYmPjHnB,Metallica (Remastered Deluxe Box Set),"Enter Sandman - July 12th, 1990, Demo",23,2021-09-10,25,0.52,0.803,11,-12.679,0,0.039,0.00469,0.709,0.145,0.523,130.25,290261,4
1ktvrl4kvs9uBrQ8N2zp7E,spotify:track:1ktvrl4kvs9uBrQ8N2zp7E,Metallica (Remastered Deluxe Box Set),"Nothing Else Matters - July 12th, 1990, Demo",21,2021-09-10,26,0.439,0.179,4,-15.531,0,0.0292,0.087,0.729,0.0764,0.17,143.851,364331,3
0r14asIXRZXQ6Txv6RAnI4,spotify:track:0r14asIXRZXQ6Txv6RAnI4,Metallica (Remastered Deluxe Box Set),"Of Wolf and Man - July 12th, 1990, Writing in Progress",19,2021-09-10,27,0.487,0.634,5,-12.809,1,0.0626,0.00196,0.518,0.183,0.624,126.257,141372,4
1lwYhaiww1PJm3uIFfOdPd,spotify:track:1lwYhaiww1PJm3uIFfOdPd,Metallica (Remastered Deluxe Box Set),"Through the Never - July 12th, 1990, Writing in Progress",19,2021-09-10,28,0.465,0.67,11,-13.011,0,0.038,0.00482,0.829,0.137,0.907,97.866,180030,4
1udntyZkkbrwoBSVR22D4I,spotify:track:1udntyZkkbrwoBSVR22D4I,Metallica (Remastered Deluxe Box Set),"The Struggle Within - July 24th, 1990, Writing in Progress",19,2021-09-10,29,0.328,0.837,4,-9.953,0,0.0627,3.7e-05,0.56,0.128,0.72,99.403,85099,4
6ogtgF9Za8jC4QqwbOzNFf,spotify:track:6ogtgF9Za8jC4QqwbOzNFf,Metallica (Remastered Deluxe Box Set),"Wherever I May Roam - July 24th, 1990, Writing in Progress",19,2021-09-10,30,0.484,0.742,11,-8.971,1,0.0467,0.00131,0.836,0.119,0.197,142.924,137211,4
6ZFenX7tPNVHiVWNVyuT3m,spotify:track:6ZFenX7tPNVHiVWNVyuT3m,Metallica (Remastered Deluxe Box Set),"Wherever I May Roam - July 30th, 1990, Writing in Progress",19,2021-09-10,31,0.484,0.708,11,-9.092,1,0.0306,0.0285,0.774,0.155,0.364,138.248,365815,4
1R1INMnTIlKE8TjjawKVhu,spotify:track:1R1INMnTIlKE8TjjawKVhu,Metallica (Remastered Deluxe Box Set),"The Struggle Within - July 30th, 1990, Writing in Progress",19,2021-09-10,32,0.42,0.951,11,-8.989,1,0.0563,0.00292,0.791,0.0896,0.547,96.619,226561,4
469Y1DsnPXDCJbCW8ZzNXU,spotify:track:469Y1DsnPXDCJbCW8ZzNXU,Metallica (Remastered Deluxe Box Set),"Enter Sandman - August 13th, 1990, Demo",19,2021-09-10,1,0.539,0.773,4,-11.228,0,0.0317,0.00207,0.831,0.112,0.639,129.74,304230,4
6YR3MGOprFIFGxR2QhYHRm,spotify:track:6YR3MGOprFIFGxR2QhYHRm,Metallica (Remastered Deluxe Box Set),"Sad But True - August 13th, 1990, Demo",19,2021-09-10,2,0.449,0.638,0,-11.611,0,0.0398,0.012,0.517,0.13,0.732,99.21,293983,4
0iI29oG7AdyD0krf2CzZ53,spotify:track:0iI29oG7AdyD0krf2CzZ53,Metallica (Remastered Deluxe Box Set),"Don't Tread on Me - August 13th, 1990, Demo",18,2021-09-10,3,0.566,0.812,9,-10.773,1,0.0666,0.00632,0.557,0.115,0.753,113.915,238939,4
6ehpLXm4DTPy8U2bLivUou,spotify:track:6ehpLXm4DTPy8U2bLivUou,Metallica (Remastered Deluxe Box Set),"Nothing Else Matters - August 13th, 1990, Demo",19,2021-09-10,4,0.532,0.287,4,-12.488,0,0.0281,0.225,0.306,0.0582,0.15,75.733,354493,3
1BZY5xvfKuw4cHzrzRJ66i,spotify:track:1BZY5xvfKuw4cHzrzRJ66i,Metallica (Remastered Deluxe Box Set),"Holier Than Thou - August 13th, 1990, Demo",18,2021-09-10,5,0.282,0.896,2,-10.718,1,0.0563,0.00285,0.603,0.146,0.706,172.209,228203,4
2hnv2V4047exB2VWSlwJI7,spotify:track:2hnv2V4047exB2VWSlwJI7,Metallica (Remastered Deluxe Box Set),"Wherever I May Roam - August 13th, 1990, Demo",18,2021-09-10,6,0.429,0.673,5,-11.26,1,0.0381,0.00736,0.369,0.197,0.388,139.211,336308,4
4zTMsQezu5lye918tjNG1M,spotify:track:4zTMsQezu5lye918tjNG1M,Metallica (Remastered Deluxe Box Set),"The Struggle Within - August 13th, 1990, Demo",17,2021-09-10,7,0.41,0.759,11,-11.769,1,0.0686,0.0015,0.807,0.225,0.689,100.939,225329,4
5B1PLJhxlce5hv0gZQIhOs,spotify:track:5B1PLJhxlce5hv0gZQIhOs,Metallica (Remastered Deluxe Box Set),"The God That Failed - August 22nd, 1990, Writing in Progress",18,2021-09-10,8,0.524,0.699,6,-11.279,0,0.0278,0.00263,0.0201,0.308,0.505,83.325,80177,4
1ImOGusaS7BP8GNMZ5TJIz,spotify:track:1ImOGusaS7BP8GNMZ5TJIz,Metallica (Remastered Deluxe Box Set),"Of Wolf and Man - August 22nd, 1990, Writing in Progress",19,2021-09-10,9,0.636,0.843,11,-10.589,1,0.0503,2.04e-05,0.836,0.0505,0.873,127.157,61052,4
0oYLMPloW8jgq2fZ00dqCt,spotify:track:0oYLMPloW8jgq2fZ00dqCt,Metallica (Remastered Deluxe Box Set),"My Friend of Misery - August 29th, 1990, Writing in Progress",18,2021-09-10,10,0.422,0.344,9,-13.518,0,0.0333,0.00148,0.883,0.162,0.449,122.036,245171,4
4qm1nMnOo0eOKVFYLjeX8J,spotify:track:4qm1nMnOo0eOKVFYLjeX8J,Metallica (Remastered Deluxe Box Set),"The Unforgiven - August 29th, 1990, Writing in Progress",18,2021-09-10,11,0.371,0.341,4,-13.762,0,0.0566,0.00223,0.883,0.323,0.308,71.398,223971,4
64Zzq0nl49JCN30YCPUe0R,spotify:track:64Zzq0nl49JCN30YCPUe0R,Metallica (Remastered Deluxe Box Set),"Through the Never - August 31st, 1990, Demo",17,2021-09-10,12,0.432,0.902,2,-11.619,1,0.0383,2.83e-05,0.634,0.0245,0.527,100.619,218798,4
0a4zdx994ujsFuK6WUOJEK,spotify:track:0a4zdx994ujsFuK6WUOJEK,Metallica (Remastered Deluxe Box Set),"Of Wolf and Man - August 31st, 1990, Demo",17,2021-09-10,13,0.589,0.857,5,-10.155,1,0.0434,0.000368,0.00134,0.0568,0.51,126.113,245039,4
0if5N9jhacxkQe4EvzTiHD,spotify:track:0if5N9jhacxkQe4EvzTiHD,Metallica (Remastered Deluxe Box Set),"The God That Failed - August 31st, 1990, Demo",17,2021-09-10,14,0.407,0.73,4,-11.15,1,0.0381,0.000291,0.00191,0.157,0.638,91.35,284506,4
3zNrzN02JxFHFvnttilGXJ,spotify:track:3zNrzN02JxFHFvnttilGXJ,Metallica (Remastered Deluxe Box Set),"The Unforgiven - September 3rd, 1990, Writing in Progress",18,2021-09-10,15,0.463,0.391,4,-13.481,0,0.0386,0.161,0.324,0.0928,0.419,71.221,344881,4
3cdJgSlhfN54tlMTdauZRa,spotify:track:3cdJgSlhfN54tlMTdauZRa,Metallica (Remastered Deluxe Box Set),"My Friend of Misery - September 3rd, 1990, Writing in Progress",19,2021-09-10,16,0.408,0.502,2,-13.043,0,0.0353,3.64e-05,0.897,0.151,0.425,123.806,107352,4
0qj9lQD7aVucaQDd4SmDr8,spotify:track:0qj9lQD7aVucaQDd4SmDr8,Metallica (Remastered Deluxe Box Set),Enter Sandman - Pre-Production Rehearsal,18,2021-09-10,1,0.521,0.596,11,-10.395,1,0.0299,0.00394,0.906,0.115,0.491,125.786,298772,4
3w0wgsYi5vyXnzplyiklHs,spotify:track:3w0wgsYi5vyXnzplyiklHs,Metallica (Remastered Deluxe Box Set),Sad But True - Pre-Production Rehearsal,18,2021-09-10,2,0.516,0.621,9,-9.882,0,0.029,0.00201,0.934,0.103,0.593,91.913,318271,4
